Name;Target market;RESTRICTION;Operator/Registry;Notes
.church;Churches, youth organizations, spiritual communities, religion-based organizations, anyone who publishes spiritual or religious content;;Donuts Inc;
.circle;Amazon Registry Services, Inc.;;;
.city;City resource sites for locals and travelers, travel writers & bloggers, local reviews websites, tourist attractions, transportation businesses;;Donuts Inc;
.claims;Insurance adjusters & claims representatives, insurance claims departments (auto, medical, homeowners), customer service departments of insurance companies, law firms;;Donuts Inc;
.cleaning;Contractors, commercial/home cleaning services, auto detailing/cleaning services;;Donuts Inc;
.click;—;;Uniregistry;
.clinic;Healthcare clinics, medical or healthcare specialists, sports clinics, urgent care clinics;;Donuts Inc;
.clothing;Online retailers, department stores, designers;;Donuts Inc;
.cloud;—;Aruba S.p.A.;;
.club;groups, organizations, assemblies, communities, general;;.CLUB DOMAINS;
.coach;Athletic organizations, personal trainers & coaches, business, life, & health coaches, school & community club coaches or tutors, affordable travel, airline, train, car, or other transportation companies;;Donuts Inc;
.codes;Software and web developers, IT companies, technology R&D companies, coding enthusiasts, coding classes & camps;;Donuts Inc;
.coffee;Coffee shops, roasters, wholesalers & suppliers, machine & equipment suppliers and stands;;Donuts Inc;
.college;Educational;;XYZ.com;
.community;City guides & community centers, online communities, neighborhood associations, churches, mosques, temples, and other spiritual communities, local writers & bloggers;;Donuts Inc;
.company;Small, medium, or large businesses, business that want to demonstrate authority in their field, makers, artisans, anyone who sells a niche product;;Donuts Inc;
.compare;;Reserved for iSelect Ltd;iSelect Ltd;
.computer;Computer manufacturers, computer repair services, computer resellers, computer training & education programs, tech companies;;Donuts Inc;
.condos;Real estate brokers/agents, property (condominium) managers, mortgage companies, condominium/apartment developers, condominium associations;;Donuts Inc;
.construction;Contractors, commercial/residential architects, wholesale and retail construction suppliers;;Donuts Inc;
.consulting;Consulting firms, independent consultants, specialty services, businesses that offer expert training;;Donuts Inc;
.contact;Top Level Spectrum, Inc.;;;
.contractors;Construction-related businesses, contractors, subcontractors, independent contractors with unique skills and expertise, unions or other organizations promoting their people and skills;;Donuts Inc;
.cooking;sharing recipes;;Minds + Machines;
.cool;Fashion magazines & blogs, meme aggregators, trend tracking sites, online merchants, fun publications & sites;;Donuts Inc;
.coop;cooperatives;The .coop TLD is limited to cooperatives as defined by the Rochdale Principles.;DotCooperation;
.country;general;;Minds + Machines;
.coupon;discounts and rebates;Amazon Registry Services, Inc.;;
.coupons;Coupon pages, coupon sites, discount sites, coupon-themed blogs, bargain hunters;;Donuts Inc;
.courses;education;Open Universities Australia Pty Ltd;;
.cpa;accountants and accounting firms;Restricted to licensed CPAs and CPA firms;American Institute of Certified Public Accountants;
.credit;Credit card companies, kenders, credit unions, collection agencies, credit counselors & financial planners\;;Donuts Inc;
.creditcard;Credit card companies, store/retailer credit card sites, credit counselors & financial planners, credit card processing services;;Donuts Inc;
.cruise;Cruise lines, cruise-related products or services, travel agencies & vacation services, private charter boats;Viking River Cruises (Bermuda) Ltd.;;
.cricket;cricket;;Global Registry Services Ltd;
.cruises;cruise businesses and travel;;Donuts Inc;
.cyou;For any individual or business that shares the ethical values of diversity, inclusivity, and independence;;Beijing Gamease Age Digital Technology Co., Ltd.;
.dad;families;;Google;
.dance;Dance studios & instructors, nightclubs & music venues, dance teams & troupes, dance shoe, clothing & equipment manufacturers, fans of dance & live performances;;Donuts Inc;
.data;Dish DBS Corporation;;;
.date;online dating;;Global Registry Services Ltd;
.dating;Dating & matchmaker sites, travel sites & city guides, singles meetup groups, traditional “classified” sites, event businesses;;Donuts Inc;
.day;general;;Google;
.deal;sales;Amazon Registry Services, Inc.;;
.deals;Discount sites, bargain hunters, coupon sites, coupon pages. coupon-themed guides, directories and blogs;;Donuts Inc;
.degree;Brick-and-mortar schools & universities, online universities, other learning courses, other educational resources;;Donuts Inc;
.delivery;Consumer delivery services, commercial shipping services, transportation services, messenger services, any business that ships their products;;Donuts Inc;
.democrat;Political candidates, lobbyists, political parties, fundraising organizations;;Donuts Inc;
.dental;Dentists, endodontists, orthodontists, retailers selling oral health supplies, wholesale suppliers for dental care;;Donuts Inc;
.dentist;Dentists, endodontists, orthodontists, retailers selling oral health supplies, wholesale suppliers for dental care;;Donuts Inc;
.design;graphic art and fashion;;Top Level Design;
.dev;development;;Google;
.diamonds;Jewelers, diamond wholesalers and retailers, jewelry appraisers and buyers, pawn shops;;Donuts Inc;
.diet;dieting and dietary;;Uniregistry;
.digital;Advertising/Marketing/PR/Design agencies, media buying/production companies (digital & traditional), online event, meetup & gaming sites, technology companies, e-commerce sites;;Donuts Inc;
.direct;Direct-to-consumer stores, bargain hunters, transportation services, messenger services, delivery & shipping services;;Donuts Inc;
.directory;Listings organizations, name, phone & address directories, online business directories, clubs, groups, & other organizations directories;;Donuts Inc;
